epoch,acc,loss,val_acc,val_loss
0,0.50624998286366463,0.70008153468370438,0.53499999642372131,0.69117313623428345
1,0.51499998196959496,0.69582447409629822,0.53499996662139893,0.69109895825386047
2,0.49499998241662979,0.69742716103792191,0.53499996662139893,0.69104060530662537
3,0.50874998420476913,0.69864356517791748,0.53499996662139893,0.69100251793861389
4,0.49124997854232788,0.69804871827363968,0.53499999642372131,0.69099697470664978
5,0.49374998733401299,0.69712191820144653,0.53499996662139893,0.69101980328559875
6,0.48999997228384018,0.69803041964769363,0.53499998152256012,0.69105783104896545
7,0.49124997481703758,0.69609861820936203,0.53499999642372131,0.69111025333404541
8,0.50124998018145561,0.69622662663459778,0.53499996662139893,0.69117802381515503
9,0.51499997451901436,0.69602258503437042,0.53499999642372131,0.69127205014228821
10,0.51249998435378075,0.69474044442176819,0.53999999165534973,0.69136267900466919
11,0.49249998480081558,0.69815387576818466,0.53999999165534973,0.69147542119026184
12,0.52124997228384018,0.69206742197275162,0.53999999165534973,0.69154989719390869
13,0.47124998271465302,0.69692031294107437,0.51999995112419128,0.69165894389152527
14,0.49499998986721039,0.69514568895101547,0.52000001072883606,0.69175031781196594
15,0.50874997302889824,0.69412549585103989,0.50499996542930603,0.69184374809265137
16,0.47624998912215233,0.69918372482061386,0.50999996066093445,0.69191861152648926
17,0.48374998196959496,0.69497378170490265,0.50499998033046722,0.69201979041099548
18,0.50874998420476913,0.69390407204627991,0.5,0.69211933016777039
19,0.51249998435378075,0.69583854824304581,0.49999995529651642,0.69216981530189514
20,0.52374998480081558,0.69438290596008301,0.50999999046325684,0.69220748543739319
21,0.49124998226761818,0.69609446823596954,0.51499998569488525,0.69229432940483093
22,0.47749999165534973,0.6956002488732338,0.51499998569488525,0.69232019782066345
23,0.49124997854232788,0.69527916610240936,0.51499998569488525,0.69240331649780273
24,0.4987499862909317,0.69320618361234665,0.51999999582767487,0.69252026081085205
25,0.49249998107552528,0.69483435153961182,0.51999998092651367,0.6925380527973175
26,0.4987499862909317,0.69497582316398621,0.51999996602535248,0.69258758425712585
27,0.48249998688697815,0.69736473262310028,0.51999995112419128,0.69265401363372803
28,0.49499997869133949,0.69647108763456345,0.51999998092651367,0.69266417622566223
29,0.51374999061226845,0.69420336186885834,0.51499997079372406,0.69267356395721436
30,0.50499998778104782,0.69599699974060059,0.51999998092651367,0.69271320104598999
31,0.4974999912083149,0.69531106203794479,0.52499997615814209,0.69273895025253296
32,0.4987499825656414,0.69524826854467392,0.52499999105930328,0.69277384877204895
33,0.4949999712407589,0.69567692279815674,0.50999999046325684,0.69280436635017395
34,0.48999998718500137,0.69487576931715012,0.51499997079372406,0.69284927845001221
35,0.47874999046325684,0.69419118762016296,0.51999996602535248,0.69287601113319397
